comparison,n_tappers,n_stems,n_repetitions,mean_f_measure,median_f_measure,matched_rate_proportion,median_abs_phase_offset_fraction,median_abs_matched_offset_ms
independent_n_vs_n,10,200,1,0.827937384338299,1.0,0.79,0.020980916560842486,12.907997928055082
independent_n_vs_n,20,200,1,0.8930917854772344,1.0,0.85,0.01598811312936632,8.993679649874409
independent_n_vs_n,30,200,1,0.9159773593923712,1.0,0.895,0.011945818626824978,7.447150375014644
independent_n_vs_n,50,200,1,0.9177879678512323,1.0,0.885,0.0088898362460901,5.7831893397661815
subsample_vs_full,10,200,1,0.8778634282199925,1.0,0.835,0.01360175927642963,8.452234610224707
subsample_vs_full,20,200,1,0.9228984540034701,1.0,0.8775,0.009534247564511563,5.773425271882626
subsample_vs_full,30,200,1,0.9378292503235812,1.0,0.91,0.007710653870648442,4.67474926090361
subsample_vs_full,50,200,1,0.9511895532478206,1.0,0.9275,0.004888417499222251,3.3533920451072063
