metrical_class,label,n_excerpts,n_crowd_rating_higher,mean_rating_delta,median_rating_delta,median_ci95_low,median_ci95_high,min_rating_delta,max_rating_delta
tactus_match,Matched rate,145,51,-0.02896463589536635,-0.1428571428571432,-0.2307692307692308,-0.0769230769230766,-1.5109890109890105,2.9999999999999996
half_time,Crowd half rate,9,9,0.6272392792774628,0.7476190476190476,0.2307692307692308,0.882352941176471,0.1666666666666665,1.0409356725146195
double_time,Crowd double rate,14,7,-0.29512631853133836,-0.2380952380952377,-1.2307692307692304,0.4117647058823532,-1.6208333333333331,1.2666666666666666
other_flip,Non-integer,12,7,0.14481333724754786,0.392857142857143,-0.8106060606060604,1.03030303030303,-1.7756410256410255,2.125
